iter	Passed	Remaining
439	1289	1641
440	1291	1637
441	1294	1633
442	1296	1630
443	1299	1626
444	1301	1623
445	1303	1619
446	1306	1615
447	1308	1611
448	1310	1607
449	1312	1603
450	1314	1599
451	1316	1595
452	1318	1591
453	1320	1587
454	1322	1583
455	1324	1580
456	1326	1576
457	1329	1572
458	1331	1568
459	1333	1565
460	1335	1561
461	1337	1557
462	1339	1554
463	1341	1550
464	1344	1547
465	1347	1543
466	1349	1539
467	1351	1536
468	1354	1533
469	1356	1529
470	1358	1525
471	1360	1521
472	1362	1518
473	1365	1515
474	1367	1511
475	1369	1507
476	1371	1504
477	1374	1500
478	1376	1497
479	1378	1493
480	1381	1490
481	1383	1486
482	1385	1483
483	1387	1479
484	1390	1476
485	1392	1472
486	1394	1469
487	1397	1465
488	1399	1462
489	1401	1458
490	1403	1455
491	1406	1451
492	1408	1448
493	1410	1445
494	1413	1441
495	1415	1438
496	1417	1434
497	1419	1431
498	1422	1427
499	1424	1424
500	1426	1420
501	1428	1417
502	1431	1414
503	1433	1410
504	1435	1407
505	1437	1403
506	1439	1400
507	1442	1396
508	1444	1393
509	1446	1389
510	1448	1386
511	1451	1383
512	1454	1380
513	1456	1377
514	1459	1374
515	1461	1370
516	1463	1367
517	1466	1364
518	1468	1360
519	1470	1357
520	1472	1354
521	1475	1351
522	1477	1347
523	1480	1344
524	1482	1341
525	1484	1337
526	1487	1334
527	1489	1331
528	1491	1327
529	1494	1325
530	1497	1322
531	1499	1319
532	1501	1315
533	1503	1312
534	1506	1309
535	1508	1305
536	1511	1302
537	1513	1299
538	1515	1295
539	1517	1292
540	1519	1289
541	1522	1286
542	1524	1283
543	1527	1280
544	1529	1276
545	1531	1273
546	1534	1270
547	1536	1267
548	1538	1263
549	1540	1260
550	1543	1257
551	1545	1254
552	1547	1251
553	1550	1248
554	1552	1244
555	1554	1241
556	1556	1238
557	1559	1235
558	1561	1231
559	1563	1228
560	1565	1225
561	1568	1222
562	1570	1219
563	1572	1215
564	1575	1212
565	1577	1209
566	1580	1206
567	1582	1203
568	1585	1200
569	1587	1197
570	1590	1194
571	1592	1191
572	1594	1188
573	1597	1185
574	1599	1182
575	1601	1179
576	1604	1176
577	1606	1173
578	1609	1169
579	1611	1166
580	1613	1163
581	1616	1160
582	1618	1157
583	1620	1154
584	1622	1151
585	1625	1148
586	1627	1144
587	1629	1141
588	1632	1138
589	1634	1135
590	1636	1132
591	1639	1129
592	1641	1126
593	1643	1123
594	1645	1120
595	1648	1117
596	1650	1114
597	1652	1110
598	1654	1107
599	1656	1104
